family,model,observation_count,mae,rmse,rmsle,wape_percentage
POULTRY,zero,3456,387.9862048512808,555.6689697429058,5.639188893989804,100.0
PREPARED FOODS,shifted_28_day_mean,3456,18.192901619882495,26.247629419580544,0.3158840351977292,20.366731836778552
PREPARED FOODS,weekly_seasonal_naive,3456,18.820598554831964,27.300631662480605,0.3608979543477883,21.06943091227469
PREPARED FOODS,lag_16,3456,26.554273396178527,38.66508223611686,0.4373578832730803,29.727185727724724
PREPARED FOODS,lag_364,3456,34.972029899557434,53.956347284498335,0.818950216260261,39.15076163406902
PREPARED FOODS,zero,3456,89.3265633665853,114.38506003215068,4.289999337570075,100.0
PRODUCE,weekly_seasonal_naive,3456,230.46415908469095,383.4139804210462,0.16253245271040925,9.758420957736748
PRODUCE,shifted_28_day_mean,3456,528.1255185118428,813.7208040340602,0.2879702409629131,22.36213712635327
PRODUCE,lag_16,3456,793.7657869149137,1261.537781154251,0.41066646045602495,33.61000131789878
PRODUCE,lag_364,3456,821.4742102578834,1362.8785936974255,1.2357929782202863,34.78324430774048
PRODUCE,zero,3456,2361.6951972334473,3306.047327286421,7.395579397566473,100.0
SCHOOL AND OFFICE SUPPLIES,lag_364,3456,16.43084490740741,81.5568262891087,1.0439314096896242,94.24896265560166
SCHOOL AND OFFICE SUPPLIES,weekly_seasonal_naive,3456,15.125578703703704,77.07734961760215,1.0734798816363371,86.76182572614108
SCHOOL AND OFFICE SUPPLIES,shifted_28_day_mean,3456,17.2886181404605,84.16691062554135,1.1620254848854343,99.169235341795
SCHOOL AND OFFICE SUPPLIES,lag_16,3456,16.539930555555557,81.63617982537816,1.1683855096818876,94.8746887966805
SCHOOL AND OFFICE SUPPLIES,zero,3456,17.433449074074073,85.66057992859787,1.5449440078433163,100.0
SEAFOOD,shifted_28_day_mean,3456,6.6196542345591025,11.371700985774062,0.584094048873545,32.81653275261658
SEAFOOD,weekly_seasonal_naive,3456,6.157294282896651,9.781440189910729,0.6861740870758285,30.524411448453076
SEAFOOD,lag_16,3456,9.153493051451665,15.966628836594925,0.7728255336255134,45.37788438489625
SEAFOOD,lag_364,3456,9.550172493154943,15.952508540272376,0.8270621474453625,47.34439856066457
SEAFOOD,zero,3456,20.171705172086757,33.826987745932094,2.647751014058155,100.0
